Date_ID,Date,Year,Month,Time
1,2023-09-18,2023,September,22:03:55
2,2023-12-31,2023,December,08:42:04
3,2023-04-26,2023,April,04:06:29
4,2023-05-08,2023,May,14:55:17
5,2024-01-10,2024,January,16:54:07
6,2023-09-21,2023,September,23:24:27
7,2023-06-26,2023,June,13:35:51
8,2023-03-24,2023,March,10:12:56
9,2024-01-06,2024,January,14:38:26
10,2023-10-04,2023,October,22:27:40
11,2023-07-20,2023,July,23:06:51
12,2023-06-21,2023,June,13:09:58
13,2024-01-02,2024,January,00:00:47
14,2023-05-07,2023,May,18:49:35
15,2023-11-18,2023,November,23:41:05
16,2023-06-15,2023,June,23:24:22
17,2023-07-01,2023,July,11:12:02
18,2023-04-14,2023,April,05:50:55
19,2024-02-07,2024,February,18:29:59
20,2023-10-24,2023,October,13:01:04
21,2023-03-21,2023,March,11:51:41
22,2023-08-06,2023,August,05:13:31
23,2024-02-03,2024,February,06:22:00
24,2023-05-31,2023,May,09:15:44
25,2024-02-27,2024,February,13:51:11
26,2023-04-20,2023,April,04:45:57
27,2023-06-03,2023,June,04:57:04
28,2024-01-07,2024,January,17:33:45
29,2023-04-22,2023,April,09:17:29
30,2023-06-21,2023,June,16:42:37
31,2024-02-06,2024,February,01:59:20
32,2023-11-26,2023,November,06:43:16
33,2023-05-22,2023,May,11:24:20
34,2023-06-29,2023,June,11:35:43
35,2023-12-16,2023,December,04:00:08
36,2023-04-10,2023,April,06:50:20
37,2023-12-12,2023,December,17:48:31
38,2024-02-16,2024,February,20:44:42
39,2024-02-08,2024,February,12:07:52
40,2023-10-29,2023,October,13:43:05
41,2024-02-21,2024,February,22:28:09
42,2023-03-17,2023,March,08:03:15
43,2023-10-06,2023,October,04:59:02
44,2023-11-05,2023,November,17:38:05
45,2023-12-14,2023,December,20:24:39
46,2023-06-19,2023,June,11:40:40
47,2023-03-16,2023,March,01:42:10
48,2023-07-16,2023,July,17:20:37
49,2023-04-19,2023,April,02:13:39
50,2023-09-10,2023,September,19:22:43
51,2023-03-15,2023,March,01:07:58
52,2023-11-11,2023,November,15:38:31
53,2023-07-25,2023,July,20:29:30
54,2023-10-03,2023,October,04:34:26
55,2023-10-17,2023,October,06:40:06
56,2023-06-27,2023,June,11:30:53
57,2023-11-26,2023,November,16:09:33
58,2024-02-18,2024,February,11:46:09
59,2024-02-22,2024,February,19:13:49
60,2023-10-08,2023,October,05:45:56
61,2023-10-11,2023,October,07:56:37
62,2023-09-17,2023,September,01:25:11
63,2023-11-04,2023,November,14:44:24
64,2023-06-20,2023,June,00:17:23
65,2023-08-31,2023,August,00:34:27
66,2024-02-20,2024,February,07:34:49
67,2023-03-12,2023,March,08:31:15
68,2023-07-23,2023,July,19:14:52
69,2023-12-12,2023,December,03:55:19
70,2023-05-06,2023,May,03:42:45
71,2023-11-14,2023,November,18:12:57
72,2024-02-06,2024,February,05:31:02
73,2023-06-06,2023,June,08:43:39
74,2023-03-23,2023,March,11:59:32
75,2023-04-08,2023,April,09:21:09
76,2023-11-23,2023,November,22:16:03
77,2023-08-18,2023,August,01:30:01
78,2023-10-30,2023,October,18:07:26
79,2023-03-04,2023,March,08:10:02
80,2024-01-13,2024,January,16:41:07
81,2023-07-22,2023,July,10:36:45
82,2023-07-19,2023,July,09:22:55
83,2023-03-02,2023,March,00:04:24
84,2023-12-06,2023,December,11:08:06
85,2023-11-13,2023,November,01:04:00
86,2023-09-03,2023,September,11:03:16
87,2023-11-01,2023,November,02:09:59
88,2023-04-04,2023,April,11:34:09
89,2023-03-22,2023,March,05:44:33
90,2023-12-07,2023,December,06:27:17
91,2024-01-26,2024,January,17:05:34
92,2023-06-28,2023,June,08:35:41
93,2023-12-07,2023,December,21:09:35
94,2023-04-19,2023,April,22:26:07
95,2023-03-05,2023,March,17:10:46
96,2023-12-21,2023,December,00:41:21
97,2023-08-25,2023,August,19:46:47
98,2023-03-08,2023,March,21:43:17
99,2023-05-16,2023,May,19:39:12
100,2023-11-08,nan,November,17:08:17
101,2023-12-17,2023,December,21:32:32
102,2024-02-20,2024,February,03:39:48
103,2023-11-16,2023,November,15:29:46
104,2023-07-03,2023,July,14:22:41
105,2024-01-25,2024,January,17:48:38
106,2023-07-10,2023,July,16:49:22
107,2023-07-25,2023,July,17:53:48
108,2023-12-12,2023,December,16:21:55
109,2023-08-30,2023,August,19:19:22
110,2023-06-24,2023,June,01:17:23
111,2024-01-14,2024,January,21:18:43
112,2024-02-05,2024,February,07:38:28
113,2023-12-20,2023,December,08:57:11
114,2023-08-23,2023,August,01:40:26
115,2024-02-06,2024,February,10:56:31
116,2024-02-02,2024,February,04:39:39
117,2023-03-04,2023,March,17:34:14
118,2024-02-23,2024,February,03:19:09
119,2024-01-17,2024,January,11:14:33
120,2024-02-05,2024,February,01:35:20
121,2023-09-05,2023,September,13:53:22
122,2023-03-19,2023,March,22:48:31
123,2023-06-15,2023,June,09:22:20
124,2023-03-05,2023,March,07:54:44
125,2024-01-06,2024,January,09:43:31
126,2023-12-15,2023,December,03:26:33
127,2023-10-30,2023,October,02:34:45
128,2023-09-08,2023,September,07:19:22
129,2023-09-11,2023,September,13:27:52
130,2023-11-15,2023,November,00:50:35
131,2023-12-19,2023,December,13:09:49
132,2023-03-13,2023,March,04:32:41
133,2023-11-28,2023,November,19:22:50
134,2023-12-02,2023,December,00:36:31
135,2023-09-14,2023,September,11:06:34
136,2023-07-15,2023,July,15:45:14
137,2023-09-17,2023,September,03:11:02
138,2024-01-08,2024,January,05:12:33
139,2023-09-01,2023,September,10:18:10
140,2023-03-28,2023,March,11:29:19
141,2024-02-26,2024,February,02:31:09
142,2023-08-24,2023,August,03:43:33
143,2023-09-12,2023,September,18:24:39
144,2023-12-13,2023,December,18:26:04
145,2023-08-07,2023,August,18:53:55
146,2023-06-10,2023,June,11:15:56
147,2023-05-05,2023,May,21:19:36
148,2023-09-06,2023,September,15:02:23
149,2024-01-29,2024,January,02:18:17
150,2023-10-14,2023,October,08:02:34
151,2023-06-06,2023,June,09:03:24
152,2023-05-30,2023,May,21:07:29
153,2023-05-31,2023,May,10:40:30
154,2023-08-14,2023,August,14:21:40
155,2023-05-17,2023,May,18:20:46
156,2023-12-14,2023,December,04:50:51
157,2023-03-27,2023,March,12:02:58
158,2023-07-13,2023,July,12:00:21
159,2024-02-25,2024,February,23:22:49
160,2023-03-04,2023,March,20:54:01
161,2023-11-18,2023,November,15:27:07
162,2023-06-02,2023,June,07:48:59
163,2024-01-12,2024,January,23:42:17
164,2024-02-17,2024,February,00:04:20
165,2023-05-14,2023,May,23:02:26
166,2023-11-25,2023,November,19:11:56
167,2023-05-05,2023,May,23:10:13
168,2023-09-23,2023,September,16:15:39
169,2023-07-08,2023,July,07:45:03
170,2023-06-12,2023,June,01:13:57
